91, Potions Supplies,  Pewter Cauldron,  Ancient Potion Maker, checkedOut
92, Potions Supplies,  Glass Phial,  Diagon Alley Apothecary, onShelf
93, Potions Supplies,  Crystal Phial,  Potions Lady, onShelf
94, Potions Supplies,  Brass Scales,  Ancient Potion Maker, onShelf
95, Potions Supplies,  Juicing Board,  Diagon Alley Apothecary, onShelf
96, Potions Supplies,  Mortar and Pestle,  Ancient Potion Maker, onShelf
51, Books,  Fantastic Beasts and Where to Find Them,  Newt Scamander, onShelf
52, Books,  Quidditch Through the Ages,  Kennilworthy Whisp, onShelf
53, Books,  Hogwarts: A History,  Bathilda Bagshot, onShelf
54, Books,  Magical Drafts and Potions,  Arsenic Jigger, vanished
55, Books,  Unfogging the Future,  Blenheim Stalk, onShelf
56, Books,  Magical Me,  Gilderoy Lockhart, onShelf
71, Manga,  Azuallmanga Daioh,  Kiyohiko Azuma, checkedOut
72, Manga,  K-On,  Kakifly, onShelf
73, Manga,  Lucky Star,  Kagami Yoshimizu, onShelf
74, Manga,  Daily Lives of High School Boys,  Yasunobu Yamauchi, onShelf
75, Manga,  Nichijou,  Keiichi Arawi, onShelf
76, Manga,  Kaguya-sama: Love is War,  Aka Akasaka, onShelf
